Date,Load,Zone
5/31/2023 20:00,1680.5474,CAPITL
5/31/2023 20:00,2135.9908,CENTRL
5/31/2023 20:00,652.1295,DUNWOD
5/31/2023 20:00,1373.5979,GENESE
5/31/2023 20:00,1221.7872,HUD VL
5/31/2023 20:00,2504.1725,LONGIL
5/31/2023 20:00,973.3943,MHK VL
5/31/2023 20:00,300.5015,MILLWD
5/31/2023 20:00,5546.2883,N.Y.C.
5/31/2023 20:00,670.1595,NORTH
5/31/2023 20:00,2131.4245,WEST
5/31/2023 21:00,1604.3749,CAPITL
5/31/2023 21:00,2046.4299,CENTRL
5/31/2023 21:00,633.1876,DUNWOD
5/31/2023 21:00,1311.8195,GENESE
5/31/2023 21:00,1160.0509,HUD VL
5/31/2023 21:00,2392.5683,LONGIL
5/31/2023 21:00,939.3373,MHK VL
5/31/2023 21:00,290.9565,MILLWD
5/31/2023 21:00,5391.3798,N.Y.C.
5/31/2023 21:00,653.7888,NORTH
5/31/2023 21:00,2054.0833,WEST
5/31/2023 22:00,1463.1595,CAPITL
5/31/2023 22:00,1884.5785,CENTRL
5/31/2023 22:00,583.1776,DUNWOD
5/31/2023 22:00,1191.1732,GENESE
5/31/2023 22:00,1047.8755,HUD VL
5/31/2023 22:00,2184.763,LONGIL
5/31/2023 22:00,843.3833,MHK VL
5/31/2023 22:00,273.3678,MILLWD
5/31/2023 22:00,5114.1444,N.Y.C.
5/31/2023 22:00,620.6318,NORTH
5/31/2023 22:00,1927.028,WEST
5/31/2023 23:00,1325.9976,CAPITL
5/31/2023 23:00,1722.3584,CENTRL
5/31/2023 23:00,527.9569,DUNWOD
5/31/2023 23:00,1083.8204,GENESE
5/31/2023 23:00,949.1965,HUD VL
5/31/2023 23:00,1970.6215,LONGIL
5/31/2023 23:00,756.6745,MHK VL
5/31/2023 23:00,243.7317,MILLWD
5/31/2023 23:00,4785.7761,N.Y.C.
5/31/2023 23:00,611.3773,NORTH
5/31/2023 23:00,1784.2288,WEST
6/1/2023 0:00,1241.5742,CAPITL
6/1/2023 0:00,1609.5506,CENTRL
6/1/2023 0:00,493.567,DUNWOD
6/1/2023 0:00,1013.1846,GENESE
6/1/2023 0:00,881.405,HUD VL
6/1/2023 0:00,1808.0596,LONGIL
6/1/2023 0:00,697.8691,MHK VL
6/1/2023 0:00,221.6676,MILLWD
6/1/2023 0:00,4503.0433,N.Y.C.
6/1/2023 0:00,586.0674,NORTH
6/1/2023 0:00,1663.4412,WEST
6/1/2023 1:00,1181.2537,CAPITL
6/1/2023 1:00,1541.6647,CENTRL
6/1/2023 1:00,474.5988,DUNWOD
6/1/2023 1:00,968.8901,GENESE
6/1/2023 1:00,831.078,HUD VL
6/1/2023 1:00,1708.4558,LONGIL
6/1/2023 1:00,666.5767,MHK VL
6/1/2023 1:00,212.6147,MILLWD
6/1/2023 1:00,4274.9885,N.Y.C.
6/1/2023 1:00,572.3003,NORTH
6/1/2023 1:00,1576.2628,WEST
6/1/2023 2:00,1141.7078,CAPITL
6/1/2023 2:00,1492.2629,CENTRL
6/1/2023 2:00,453.2399,DUNWOD
6/1/2023 2:00,926.2585,GENESE
6/1/2023 2:00,800.8027,HUD VL
6/1/2023 2:00,1651.1126,LONGIL
6/1/2023 2:00,651.1944,MHK VL
6/1/2023 2:00,203.8395,MILLWD
6/1/2023 2:00,4135.7145,N.Y.C.
6/1/2023 2:00,566.2547,NORTH
6/1/2023 2:00,1527.5854,WEST
6/1/2023 3:00,1123.3924,CAPITL
6/1/2023 3:00,1468.3359,CENTRL
6/1/2023 3:00,439.6736,DUNWOD
6/1/2023 3:00,904.0763,GENESE
6/1/2023 3:00,785.918,HUD VL
6/1/2023 3:00,1622.0126,LONGIL
6/1/2023 3:00,640.2882,MHK VL
6/1/2023 3:00,200.6031,MILLWD
6/1/2023 3:00,4058.987,N.Y.C.
6/1/2023 3:00,563.6997,NORTH
6/1/2023 3:00,1491.1228,WEST
6/1/2023 4:00,1122.3686,CAPITL
6/1/2023 4:00,1479.7461,CENTRL
6/1/2023 4:00,437.4854,DUNWOD
6/1/2023 4:00,906.5928,GENESE
6/1/2023 4:00,783.2972,HUD VL
6/1/2023 4:00,1639.7846,LONGIL
6/1/2023 4:00,647.6483,MHK VL
6/1/2023 4:00,203.428,MILLWD
6/1/2023 4:00,4068.6773,N.Y.C.
6/1/2023 4:00,565.034,NORTH
6/1/2023 4:00,1484.4122,WEST
6/1/2023 5:00,1152.9413,CAPITL
6/1/2023 5:00,1529.8099,CENTRL
6/1/2023 5:00,452.3295,DUNWOD
6/1/2023 5:00,940.4439,GENESE
6/1/2023 5:00,803.359,HUD VL
6/1/2023 5:00,1707.1322,LONGIL
6/1/2023 5:00,678.8758,MHK VL
6/1/2023 5:00,217.7492,MILLWD
6/1/2023 5:00,4236.8292,N.Y.C.
6/1/2023 5:00,579.3202,NORTH
6/1/2023 5:00,1508.8365,WEST
6/1/2023 6:00,1220.7771,CAPITL
6/1/2023 6:00,1627.8407,CENTRL
6/1/2023 6:00,502.5604,DUNWOD
6/1/2023 6:00,987.3409,GENESE
6/1/2023 6:00,841.5957,HUD VL
6/1/2023 6:00,1809.9721,LONGIL
6/1/2023 6:00,726.8956,MHK VL
6/1/2023 6:00,238.7345,MILLWD
6/1/2023 6:00,4697.3892,N.Y.C.
6/1/2023 6:00,600.2642,NORTH
6/1/2023 6:00,1597.3735,WEST
6/1/2023 7:00,1272.2414,CAPITL
6/1/2023 7:00,1673.1711,CENTRL
6/1/2023 7:00,554.6251,DUNWOD
6/1/2023 7:00,1009.0326,GENESE
6/1/2023 7:00,861.6964,HUD VL
6/1/2023 7:00,1906.0101,LONGIL
6/1/2023 7:00,716.2016,MHK VL
6/1/2023 7:00,257.2994,MILLWD
6/1/2023 7:00,5230.9413,N.Y.C.
6/1/2023 7:00,610.6505,NORTH
6/1/2023 7:00,1712.7244,WEST
6/1/2023 8:00,1261.1039,CAPITL
6/1/2023 8:00,1663.8628,CENTRL
6/1/2023 8:00,585.8934,DUNWOD
6/1/2023 8:00,1014.2895,GENESE
6/1/2023 8:00,846.4388,HUD VL
6/1/2023 8:00,1962.9078,LONGIL
